epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,81.8981,3.11415,2.87725,2.07778,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.000172354,0.000172354,0.000172354
38,83.3652,3.55421,3.43009,2.08861,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.00016493,0.00016493,0.00016493
39,84.7992,3.29971,3.95365,1.99876,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.000156845,0.000156845,0.000156845
40,86.7701,3.46086,3.57146,2.23434,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.0001481,0.0001481,0.0001481
41,88.3594,2.94772,3.17827,2.25813,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.000138694,0.000138694,0.000138694
42,90.1969,3.7064,6.25755,1.63703,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.000128629,0.000128629,0.000128629
43,92.324,2.35969,2.54239,1.47424,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.000117904,0.000117904,0.000117904
44,94.7013,1.99141,2.27322,1.82334,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,0.000106518,0.000106518,0.000106518
45,96.5565,2.77169,2.68936,1.86408,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,9.44722e-05,9.44722e-05,9.44722e-05
46,98.0408,3.09229,3.72762,1.83339,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,8.17663e-05,8.17663e-05,8.17663e-05
47,99.688,2.57323,2.30872,2.31036,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,6.84003e-05,6.84003e-05,6.84003e-05
48,101.057,2.75697,3.19019,1.89092,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,5.43742e-05,5.43742e-05,5.43742e-05
49,103.656,3.97203,8.32245,2.13569,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,3.96879e-05,3.96879e-05,3.96879e-05
50,107.279,2.67518,2.52393,2.32426,0.00357,0.5,0.0063,0.00504,1.4222,5.97096,1.08163,2.43415e-05,2.43415e-05,2.43415e-05
